imp_date,qimei,play_vv_begin,video_play_time,top_vv,top_time
20210606,7424e24c10a0b48ee6438b9110001a814b1b,189,143675.551,1,1
20210606,8.68387E+14,7154,143544.505,1,1
20210606,56c9370bc67d4713,6957,143408.76,1,1
20210606,853139344a1fab1c4a9fbea910001c714914,6443,143286.004,1,1
20210606,48340179d9007c96,7365,143211.689,1,1
20210606,d3d862fc8e9eddd03598462c10001ba14a18,5681,143047.715,1,1
20210606,9176df59fb4c1c8f6024504b10001cd14c12,5225,143034.661,1,1
20210606,8.64957E+14,6965,143022.245,1,1
20210606,252f25d677130760,5290,142990.042,1,1
20210606,8.69712E+14,6432,142972.346,1,1
20210606,da89a318762de657d248b7f7100018715202,7153,142934.724,1,1
20210606,ec89f1509d387b51,7402,142815.342,1,1
20210606,8.61822E+14,4982,142777.945,1,1
20210606,17229cbb83049b12,5502,142733.634,1,1
20210606,9ee3ef70a734d76c,6997,142713.641,1,1
20210606,94e579883e57080f,5652,142632.2,1,1
20210606,a50f9293-c46a-4288-9743-8b2e520ffcdd,68,142518.112,1,1
20210606,953e786d0f4a64c3,5208,142475.582,1,1
20210606,4e3250fa4cdab515,6228,142463.214,1,1
20210606,033968c7ee545d58,5806,142436.683,1,1
20210606,ab05261fa9b742f4,5478,142345.449,1,1
20210606,e9f0598d-d568-4aaf-bcc7-1e09442db176,84,142269.447,1,1
20210606,e3ffdc790986d8673b52270010001f71511a,5290,142141.453,1,1
20210606,451b1d745e46164245ba86b910001d914c16,5231,142062.638,1,1
20210606,a00000d77a54d2,7272,141975.061,1,1
20210606,8.68583E+14,6301,141853.385,1,1
20210606,1c2c4d34afd1851702afb60110001a114c12,5979,141777.082,1,1
20210606,f8b1c31de65a607d1debc8fb10001c015216,6903,141712.993,1,1
20210606,757ec6c88a503e75,5284,141675.026,1,1
20210606,662dd472d70c7a93,6228,141628.457,1,1
20210606,8.6075E+14,7091,141610.141,1,1
20210606,dc3e49f9cc5aba4d,5741,141445.989,1,1
20210606,6adcd6b4e3c6d8964f416c3f100017914b04,5460,141423.813,1,1
20210606,8.68639E+14,5847,141401.788,1,1
20210606,8.69764E+14,5198,141322.592,1,1
20210606,d23fc3e4a804759e,6309,141210.638,1,1
20210606,d59a8c1d-c436-44ed-a3b7-1dc80477ea72,15,141172.206,0,1
20210606,f254745127f23693a3214ad810001db15219,6862,141002.281,1,1
20210606,bd81c39d670cf027142d3716100019114c12,6481,140960.062,1,1
20210606,e55950916ea4364f,7031,140822.449,1,1
20210606,b4511702b72747d2,8673,140742.806,1,1
20210606,c8a7e4f9a6aa96525e655957100016b14c12,5385,140660.569,1,1
20210606,fac5ea9f795e72edc489c923100011114c13,5835,140608.655,1,1
20210606,8.67139E+14,7032,140552.394,1,1
20210606,6d1f74e818328c6f0222d49c100018914c16,6922,140386.092,1,1
20210606,455ec0132f6950d5,5871,140384.211,1,1
20210606,98c789909207346029d2509d100018515202,5823,140383.462,1,1
20210606,fca62754dd3702f286cc63d310001a814c12,6048,140270.54,1,1
20210606,60b7e232d008cd30,5804,140209.02,1,1
20210606,fa67a9c8b7831cff37f1166a100012115202,5991,140105.569,1,1
20210606,bb683de0088a9128,5421,139970.923,1,1
20210606,a2c0ebe9261c5d0a6c43957f100010114c12,5598,139834.67,1,1
20210606,3252c0f9b03745d2a91e09cf100010e14b04,6132,139735.393,1,1
20210606,2ad4f2b2540efe582dffb711100013b14a18,6520,139688.455,1,1
20210606,23fa78930779154a,6825,139656.84,1,1
20210606,1b4ed8ab770553e7656d7b1810001001510c,5962,139527.561,1,1
20210606,0ecdaf2ed8ecc007,6157,139511.659,1,1
20210606,2fb5a83f4ac26480cef73968100016615219,7368,139312.307,1,1
20210606,d525acd5e3092c6d,6870,139145.744,1,1
20210606,6421ba7f291ae6fd4ca3d61410001ae14b0a,6476,139143.67,1,1
20210606,6fef35085589f01a1b65d516100019114a19,5883,139052.115,1,1
20210606,a02a50d8407fd1fc,6851,138990.773,1,1
20210606,b03c51276c0b8224d2bae3ce100011014919,6206,138935.807,1,1
20210606,9146e111ece8ca1d9fc95379100011214a1e,7438,138745.656,1,1
